doc_id,source_index,source_id,reference_normalized,n_chars,length_stratum
ag4e5b4b642f5daf,84922,,2,182,2
ag4db32e0947ee4d,387,,3,120,0
agd55dd0819f9e0b,21353,,0,289,13
ag0ffc99da31d96d,67964,,1,198,4
age7a434d2b80f64,113543,,1,307,14
ag8c8c81d9c8a5e1,22834,,0,269,12
ag98def99b3dcb9a,116010,,1,219,6
ag2fa026a862d049,1470,,3,231,7
agabc5f04dadb4cc,46698,,2,120,0
aga0e1efee8d1aa0,98287,,0,208,5
ag4581abc154459b,113534,,0,230,7
age204bcbeebb18e,48704,,1,218,6
ag5d49122c2957bd,91543,,1,188,3
agf54685c527f157,95545,,2,210,5
ag49630626563d0d,72446,,2,209,5
ag66b779464d26cc,55931,,2,162,1
agde7056e3ebd17b,39193,,3,260,11
ag2fcaa556963118,63508,,2,297,14
ag85ecd0f7092af0,43893,,2,272,12
ag5c3ddbc34c6f09,14167,,1,203,4
ag4e12141e582a65,43826,,1,186,3
agf7eefbf5214b5b,90662,,0,286,13
ag2b545eb3e7aa13,58280,,3,322,14
aga1ed522b211af4,29249,,2,192,3
age6a7557a9ae6ee,55016,,0,218,6
ag4308e7276e2fb9,71037,,1,233,8
ag15d7b0bd7eb325,113162,,0,146,0
agc24d09f9621721,95073,,3,213,5
ag9dcdabc2798502,30621,,0,216,6
ag53ca7f65738a24,81955,,2,197,4
ag7cf6f11f75e630,30121,,1,132,0
ag3d2077f31a5757,793,,2,164,1
agfbfe4d4c510495,1194,,0,179,2
agc871f14c9f5473,59007,,2,211,5
ag86c45c668c1773,31474,,1,193,3
ag51d58c85e19217,31274,,3,230,7
ag8a9bbecf70a239,25338,,1,324,15
ag5379ae016b0936,468,,1,396,15
aga5f59133ba480c,52370,,2,276,13
ag2fa82c5eb1f808,29740,,0,224,7
ag7ed90875847e94,5376,,1,157,1
ag80c2914dfaf2c3,110771,,1,227,7
agb6c2302720f6d7,39859,,0,205,4
agff7e27e09ac5c9,5351,,2,237,8
agdea911fb02ac8d,69604,,0,270,12
ag9e2057701f02a2,22551,,3,220,6
ag11990f33cbe25f,60326,,3,162,1
ag9a5bc54571f447,5251,,2,226,7
agd0c99b1a091880,97361,,1,192,3
ag59f4543952ad20,105986,,2,205,4
ag3e062d1953a8c9,81286,,0,248,10
ag5c40cd7a7dc862,4373,,1,210,5
age737b3d0fab651,8369,,1,193,3
agdfaaac8e144bbe,22330,,0,227,7
ag275d9e1a8b020c,13057,,0,131,0
ag4efd133acad970,11818,,1,183,2
agd9586b9014ed34,101439,,1,165,1
ag5d3ab6344b7523,73109,,0,158,1
age48eb598226804,65107,,3,494,15
ag58f2e6e96ee00f,26937,,3,195,3
ag74ee910a58229f,78263,,1,240,9
agae1a018c8cac23,49115,,3,193,3
ag0ecaee36691bd5,4286,,2,311,14
aga7da70cced957b,4838,,2,121,0
ag6cd352ba2f4102,61440,,2,162,1
ag7ce865dc989ba7,53645,,0,210,5
agf5b658073e8092,41291,,0,385,15
agf13b4a6d2af606,35249,,2,136,0
agc68a2727ffc26a,108343,,1,182,2
ag0724b686d4c359,55731,,0,307,14
agada9dcec434f49,7666,,1,212,5
ag718033680eb985,83950,,1,218,6
ag23d2f8f939cc98,119035,,3,350,15
ag3369d29e118a71,4980,,0,283,13
ag41019def26541c,40113,,2,240,9
ag12c6b9ef8a37a1,81313,,0,241,9
aga56dbf58dcce34,93420,,1,160,1
ag40d29ac05675ce,76067,,1,219,6
ag26fb66268ce5ec,14770,,0,278,13
aga3d7c516747158,34582,,3,316,14
aga783dd51ac6c2e,63698,,0,245,9
ag99ef2db3bbeaa0,61747,,3,269,12
agbff6e9ff9b07ae,108904,,1,231,8
ag3c6a74bc4e4851,10685,,0,207,5
ag2d444a3795cf79,112545,,0,244,9
age890ef9b39634f,53769,,2,257,11
ag04e1b5a3cc309e,77813,,2,245,9
ag94d8d18ed5da05,93870,,1,188,3
agb8c7fd34891a47,96090,,1,301,14
ag75c696e91e0797,83599,,0,244,9
ag465ba17033f3c2,35578,,2,258,11
ag9d06c4a8826e1a,68603,,0,269,12
agcc2ea7f91988a7,42147,,0,210,5
agf300f7792edd5a,78969,,2,226,7
ag75ffa25b17107e,111025,,3,226,7
ag142a74893c971c,46276,,0,230,7
ag642423dd1d97b6,69205,,3,215,6
agc287f6ebe451c3,5902,,0,256,11
age02d64b8c9abdf,66920,,2,294,14
agfbd5ae4ca903a1,53818,,1,264,11
agb4f91ffcf950ba,43629,,3,335,15
ag46462708ebbe4d,52234,,3,211,5
agb973a69396d4ff,81782,,3,246,9
agabd507622c073a,76458,,1,192,3
ag3e945a19cfe5ed,40343,,2,215,6
ag8ba9dc01d48b4f,56926,,3,164,1
ag4959c0a50ff57b,70045,,0,213,5
