doc_id,source_index,source_id,reference_normalized,n_chars,length_stratum,toxicity_score,toxicity_score
ccf5d385f49396c7,26279,,0,117,4,0,0
cc76670198e606e5,23342,,0,849,14,0,0
cca09795796041bd,46951,,0,74,1,0,0
cc02b56dba7f0517,42628,,0,708,14,0,0
cc54f99c97987968,16720,,0,260,8,0,0
cc46a7ac90bfd995,83122,,1,274,9,0.800000012,0.800000012
cc1f87c2fd0ad2eb,15796,,0,262,8,0,0
cc7e525cd04232eb,86452,,0,573,13,0,0
cc317f8af9b77161,75407,,0,290,9,0,0
cc0af71013534ef1,39345,,0,386,11,0,0
cc1e4ecbae1e685e,37541,,0,134,4,0,0
cc6606bee6708657,23257,,0,586,13,0.200000003,0.200000003
cc3fa45cb62c9c79,50798,,0,154,5,0,0
cc430e797a2c51d8,41656,,0,264,9,0.200000003,0.200000003
cc99c46b3c67b1ac,88823,,0,314,10,0,0
cc218bceb26baf21,80056,,0,527,12,0,0
cc9c4067b0c8c82d,26944,,0,300,9,0,0
ccb65d5532f74610,59507,,1,552,13,0.600000024,0.600000024
cc77ddf85bf3db31,279,,0,73,1,0,0
ccec0303a98b623e,12913,,0,841,14,0,0
ccd1ffe03f52a0e5,32430,,0,300,9,0,0
cc7b86b1e5996c35,91015,,0,544,13,0,0
cc815011148b76b3,9836,,0,163,6,0,0
cc79ed10fd4df4a9,9216,,0,103,3,0,0
cc36318dd3ff1ae7,52985,,0,98,3,0,0
cc63a6d487db218e,40240,,0,42,0,0,0
cc3405149bc94fcd,29495,,0,199,7,0,0
ccc87a05675aef36,49822,,0,155,5,0,0
cc7125b8255e3262,94316,,0,308,10,0,0
ccd96e5ff7470ea7,17561,,0,298,9,0.200000003,0.200000003
cc979a566ffc4539,91341,,0,74,1,0,0
cc4943250cd00a1b,3585,,0,85,2,0,0
cc3202969d5819dd,5430,,0,276,9,0,0
ccd159b4b6d42cd7,28245,,0,196,7,0,0
cc78d9d80f235cdf,73742,,0,161,5,0,0
cc74a2a4a44521c1,71989,,0,992,15,0,0
cc12f64adc47f327,79755,,1,109,3,0.5,0.5
cc362fce5dd1c3ca,91161,,1,259,8,0.5,0.5
ccbc8255888b74f1,57581,,0,250,8,0,0
cc4c9c943d048033,5734,,0,197,7,0,0
ccbc5163b5ed8f5b,72226,,0,101,3,0,0
cc1d8b1a34011645,34390,,0,41,0,0.339622647,0.339622647
cc151b287ccea760,37008,,1,149,5,0.84375,0.84375
ccbd67dfb8f1d5f4,28596,,0,206,7,0,0
cc38e01b9c329558,1141,,0,450,12,0,0
cc2d9318e1e25e06,45515,,0,94,2,0,0
cc2c60aa35b4d8b0,68510,,0,490,12,0.300000012,0.300000012
cc9fd63b2efbfd08,43204,,0,122,4,0,0
cc15528a1d7b5bc3,32091,,1,124,4,0.702702701,0.702702701
ccb8a2302ef499c3,41213,,0,177,6,0,0
cc6741af9ba97ea3,27673,,0,336,10,0,0
cc845eaba1fd5ff3,3809,,0,178,6,0,0
ccc58e0e13cff586,91876,,0,303,9,0.166666672,0.166666672
cc9c5552862bfa93,3089,,0,809,14,0,0
ccc6e1a751241ba6,90474,,0,134,4,0,0
cc12fb754ce05637,61466,,0,133,4,0.166666672,0.166666672
cc0be49e18cc00bb,61280,,0,655,13,0,0
cc80e18637105cbd,49974,,0,158,5,0,0
cc4a7b9042fd124a,52463,,0,148,5,0.166666672,0.166666672
cc01a180bc747135,59066,,0,205,7,0.166666672,0.166666672
cc395c13a65da769,59363,,0,359,10,0,0
cc7ec1543c9b0348,45236,,0,241,8,0,0
cc4154406187a1a2,32890,,0,153,5,0,0
ccbd33bad48941d2,83104,,0,507,12,0,0
cc4b9eff3b474edc,45199,,0,505,12,0,0
cc5801f7da2659f0,46728,,0,107,3,0,0
ccd31699ca3bccd6,33503,,0,389,11,0,0
ccb5e7fe9cdd80ed,61026,,0,78,2,0,0
ccbf66597ebe9e25,63679,,1,864,14,0.800000012,0.800000012
cc8ca8f384428516,84754,,0,394,11,0,0
ccd044f5d69f2fa7,58454,,0,55,0,0,0
cca0155373781dda,992,,0,309,10,0,0
cc63aca909eb6288,3744,,0,120,4,0,0
ccc9ffbba568ac71,42411,,0,324,10,0.421875,0.421875
cc740e601b9a0acb,73891,,1,75,1,0.5,0.5
cc70bc52b6cf5953,57554,,0,145,5,0,0
cc03b4bfd6230662,80179,,0,751,14,0,0
cc2172ec2c537860,76769,,0,104,3,0.166666672,0.166666672
cc1fb339184010b1,90600,,0,994,15,0,0
ccd91e9718615ac9,22807,,0,373,11,0,0
cc998bdd34a30308,20968,,0,136,4,0.166666672,0.166666672
cce41a7b98a11861,32953,,0,546,13,0,0
cc6f48c14e68194b,84589,,0,147,5,0.200000003,0.200000003
cc4604457d34ec0d,69899,,0,582,13,0.166666672,0.166666672
cca76d80a7447a16,1897,,0,712,14,0,0
cc7a0800071b87e2,32928,,0,399,11,0,0
ccc4792ce02914fd,84486,,0,173,6,0,0
cc7a13077d9a71b5,36480,,0,249,8,0.166666672,0.166666672
cc8b65834801e458,44475,,0,991,15,0,0
cc910f638d03b8d1,40074,,0,974,15,0,0
cc2115369010c3df,5538,,0,273,9,0,0
cc8a3805ba6a408e,87710,,0,401,11,0.400000006,0.400000006
ccad0b5776d24fdb,89989,,0,425,11,0,0
ccbcdb0412840269,64097,,0,133,4,0,0
cceeacbd8325a352,77265,,0,184,6,0,0
cc6970b378d5db98,85843,,0,428,11,0.400000006,0.400000006
cc03fd0a85e424dc,85744,,0,73,1,0.166666672,0.166666672
