doc_id,source_index,source_id,reference_normalized,n_chars,length_stratum
im9a0fc2b6c83975,19310,,1,922,7
im825588046cf234,16166,,1,370,0
im6d0c977b67d5ac,3652,,0,2331,15
ime2482d2d7b38ef,23479,,1,710,4
imd6e76121c9e07b,20593,,1,959,8
im6de4871d8719ce,3295,,0,1497,12
imf5f40bd169cd42,4179,,0,1293,11
im3ed07a86fed58a,22036,,1,1992,14
im631b39b0270c9e,18134,,1,1715,13
im982f376b4b7035,8460,,0,500,1
imb1c58eb780b611,15191,,1,958,8
imddeb4145af784a,16780,,1,931,7
im9c2906cff57be0,1406,,0,2433,15
im616fc4ac7b45b4,17371,,1,555,1
ime7adfb47b4d30b,1471,,0,686,4
im3735fad8c182db,14461,,1,1921,13
imee5e5eaf9f74f6,108,,0,1046,9
imde961d1bff74c2,14480,,1,675,3
imb9aef60d3dac1b,24216,,1,690,4
im09206f02591967,16133,,1,1035,9
im014092b5dec06f,3069,,0,1305,11
imd5b8169dbe8a77,4768,,0,1553,12
im9b79c9fe20e58c,18860,,1,706,4
im7ee25c7c1a017d,18454,,1,323,0
im33f579bfff7c6e,3959,,0,1164,10
im821c9fe16b9326,20231,,1,838,6
imc9fbf686b2d7b5,16476,,1,1612,12
im35d71e62a9b092,12272,,0,1587,12
im674ce7ec2b7076,15097,,1,919,7
im7e1f0ccc8c1ca6,7556,,0,1153,10
imc3da89250bc21e,11525,,0,2340,15
ime715a08e92b85b,6458,,0,682,3
im12b5484d624bb1,6397,,0,357,0
imeea4bc0cd2d51b,23134,,1,847,6
imceb228608b80fd,15408,,1,835,6
imd93fb8ebc1f157,13252,,1,2791,15
im740d4cb9ca053d,23338,,1,1456,12
im6d026c8a5c1c8b,2396,,0,680,3
imf22af74a4db2fe,6070,,0,2868,15
im9f9923aeb0420b,10380,,0,734,5
imead954e543d64f,22607,,1,871,7
im02e2693549f27d,16413,,1,613,2
imd4256cbb53cad8,10413,,0,722,4
im2a5dcd77a3613b,4118,,0,249,0
imd838a0db6a54b9,4377,,0,1976,14
imbb3c526f71c1cc,2710,,0,1765,13
