doc_id,source_index,source_id,reference_normalized,n_chars,length_stratum
mn6afc2d7abc5552,323663,98673e,0,290,13
mncc166fcd741dba,207172,32719n,1,89,1
mn541bbb7d3cf5a8,18625,36389c,2,101,2
mn5adb8706343926,361331,15843n,1,236,11
mn18e4838711bf3e,354953,128779n,1,149,5
mn99d8ca0662c9e9,150055,72566c,2,182,8
mnaee220a8865c31,55155,54591c,2,126,4
mne8acc421371923,282800,16150c,2,142,5
mnc967b3734c79c8,79454,22352n,1,165,6
mn44619f4f016599,255265,66031n,1,149,5
mn208ac9a5c78566,189552,77782n,1,287,13
mn444bb918fe5759,390251,80812c,2,260,12
mn52303c3c483f90,116376,40015e,0,176,7
mn8a4e5e3f1cdafa,132966,63395n,1,249,12
mn949747808370e3,333572,102942c,2,147,5
mn60f734e54a6bb9,230934,127622c,2,167,7
mn44a217001ca45a,358308,45349e,0,202,9
mn22d6eb4c3e3999,230074,47318n,1,190,8
mnd1303bc6034373,320940,48217n,1,198,9
mn84029730315435,157792,122992c,2,283,13
mn266de6b69b645f,131030,127687n,1,440,15
mn64980b66783f53,326036,61140n,1,116,3
mn9e40b798a52b41,159742,50037e,0,231,11
mnad4751a0883354,299789,38367n,1,151,5
mn312964faa77b55,111930,129098c,2,77,0
mn9564c69efce1a9,221395,8639n,1,531,15
mn232241a229db4c,173226,61069n,1,139,4
mnf8fda9cb4738b6,243283,89882c,2,200,9
mn7f557bf4548ed7,41174,64602e,0,118,3
mn2c4e48bac9862b,175328,99388n,1,239,11
mn6833ae08e23ed3,2924,76978e,0,167,7
mna9d1837baac09f,341864,116e,0,254,12
mn87ba578240d9fa,48535,78058e,0,225,10
mn1a130fcc629ae2,349816,143765n,1,118,3
mnb7f98c6da06392,144016,82929c,2,92,1
mnf77b44e7d27899,161111,80683n,1,224,10
mn8409ac3019f0cc,241971,143821n,1,230,11
mnb35eac04e54d2c,147160,125685c,2,94,1
mna5d151e31a8f4b,180405,199n,1,120,3
mna9d92e2d3f7b73,249488,145905n,1,400,15
mn0e230d942ac4ae,387523,81135e,0,166,6
mn2462b89b1420a7,64072,49021n,1,371,15
mn3b95daba47f30b,211373,121837n,1,101,2
mndaaf9119be0351,304102,28036e,0,233,11
mna2ec921f6a38a5,269606,25625c,2,297,14
mna3cf2bd6daf1bf,269466,14590e,0,154,6
mn75ff5f94be6b01,270834,92691n,1,261,12
mnef837217d2498d,36568,23778c,2,133,4
mn0db6787620f91f,83406,66807n,1,127,4
mndd58800afc99d2,164602,5852n,1,202,9
mn1ba1a2a2fc3be1,27450,102413e,0,255,12
mn5677187b97bbb4,104819,72704e,0,132,4
mn3a27c3db2de76a,29986,121849c,2,292,14
mnbd29ef736e189a,171974,72102n,1,115,3
mn4ccac94df4859d,122013,31139c,2,204,9
mnd22127e75b8b44,50284,48900n,1,208,9
mn734e7b4640aa1d,146257,62480n,1,138,4
mn092c7e53b1801d,335905,19929e,0,124,3
mn2af1bcdb38d9b1,220857,112411n,1,201,9
mnab9e1ea2b47c1b,287617,108228n,1,254,12
mn51554573770549,164724,34593n,1,164,6
mn87b2e7bb80271b,189014,41438n,1,95,2
mnaf2710545d053a,188742,9463n,1,167,7
mnbe184f07431104,163911,82706e,0,126,4
mnc8f63782836607,71732,50161c,2,154,6
mnb6535f46528d5f,60416,65075e,0,116,3
mnb25d7b8e0b9ebd,185448,2506e,0,119,3
mn74f57c384d1f10,206416,61393c,2,363,15
mncdf6284a992ac2,341580,73063e,0,214,10
mn1d6ee8feb55812,247383,77785n,1,133,4
mne8329f2e932464,379403,70003c,2,153,6
mna8ff497a122492,109454,126823c,2,203,9
mne1fe0a38f1601a,144061,50559e,0,212,10
mn0f22d5623878c8,114058,79579e,0,99,2
mn3b6f5e71c3e4a5,44155,36175c,2,197,9
mn3c29e1fa1042af,96711,124861c,2,122,3
mna92e5c6f84cbbd,242766,143093n,1,291,13
mnef571857ce76a0,162495,115747c,2,312,14
mnea8e0b08a3a643,241395,134238c,2,223,10
mn3448f0464169f7,162425,105770c,2,124,3
mne09e9b9083eb50,2483,80040e,0,82,1
mn90ee7ed1bfc222,334940,40662c,2,169,7
mnfd433d734c0c84,378583,84795e,0,332,14
mn968ea5825c1f9b,113919,136791e,0,165,6
mn2ac90a065a2395,319550,81049n,1,183,8
mn6f436faa8d6867,4346,97099c,2,199,9
mn8da7be25b3b0a9,19513,19009c,2,98,2
mn64f049ee92bbd6,34036,112998e,0,271,13
mnec1f8ff99b41cd,288574,129685c,2,174,7
mnb147756c113384,40609,40752n,1,289,13
mnbb7d260a79e43a,365379,24214n,1,265,13
mn2febd078e3c2a8,9952,97963e,0,223,10
mna2f1cf33e0caca,250351,137965e,0,61,0
mn4a0ae205cfd5ec,375007,76801e,0,129,4
mnb90189920025da,164942,55692n,1,381,15
mn6dbcde2524de2d,130849,74360e,0,225,10
mn5942708eb4a485,212495,71010c,2,130,4
mne7e34e92e5a1db,292386,107777e,0,237,11
mnb62d056b95fc4b,137227,6187n,1,91,1
mn608e74626b567f,324723,67138c,2,240,11
mnfb181b3ef00c33,220748,109444n,1,77,1
mnc977c778f34b05,269622,14445e,0,224,10
mn2d91e86d22cd52,84697,136291c,2,221,10
mn6dc1477fa26b08,316034,18961c,2,227,11
mn6e54b2e280cf7e,193562,41132n,1,73,0
mncfe78718e851fd,341643,110400e,0,307,14
mn7542ec81479b0b,354073,71672n,1,152,5
mn183342ec9c6b9d,49502,17517n,1,305,14
mn7d8fd07b60d487,15012,130211e,0,96,2
mncb87798fdef3ee,146686,93973e,0,420,15
mne24dfe0a41349a,119073,45524e,0,164,6
mn6e062df141ed65,362756,8001n,1,227,11
mn7792aa9111b023,225778,52018n,1,187,8
mnfef0c1096eb835,123188,46750c,2,243,12
mn64071f1d401066,329233,85814n,1,284,13
mn46604827ad879d,306120,101544c,2,152,5
mnefd4ba05f43bd1,232351,116287n,1,600,15
mn91c33e0be6e22d,376007,140925n,1,239,11
mn6450a2870aa512,277470,123673n,1,193,8
mn04788ca1743c43,27007,136062c,2,289,13
mn606deea7d23749,21886,113114c,2,180,7
mn8463bbd3cc0584,118071,136818n,1,388,15
mn58486089ab798d,297230,10030n,1,338,15
mnc0bce289ccb277,54596,6178n,1,197,9
mn2c49a7cdd13b94,342186,35996e,0,115,3
mnf0d6dc1e706de9,52465,53199n,1,233,11
mnf094443b2bfd3d,40596,79015c,2,287,13
mn75fe99ff45c6b3,342777,45200n,1,161,6
mne2b50991643ac0,368381,1413n,1,142,5
mnd2a5c858c9ebce,1670,64194c,2,109,2
mn37f96f3bde71ea,86169,5550e,0,74,0
mn5d9fd607c217ed,134644,35148c,2,77,0
mn7833945be3fd4e,91943,42666e,0,91,1
mn4933dacfcd4579,219112,122811c,2,141,5
mne378980693d41d,93051,78231e,0,124,3
mn66cbe53f459cfe,11409,140910e,0,192,8
mna66d4669d35882,107462,41681c,2,81,1
mn4d53434ba61101,342642,126198c,2,92,1
mna381669af6a7f3,258409,104926e,0,147,5
mn1f6f13dfc5308b,391292,15928e,0,231,11
mn4b1eecc0dc6508,119012,123067c,2,204,9
mna26452f1a75572,167365,139394c,2,202,9
mn5ec9ae5259580c,335269,13323n,1,152,5
mn6408bc11bfa91e,256309,70752e,0,206,9
mn423607a5b87fe5,51637,50378c,2,253,12
mnd6293bd4a6df44,286106,85066n,1,281,13
mndf54b10dfa5a6c,9141,79716c,2,176,7
mn513b5cbb7f1f26,154355,16859e,0,137,4
mn682401296ee2b9,36959,126860c,2,82,1
mn10796a82476296,316859,38937c,2,188,8
mnd25b5f09a1439a,239585,95482c,2,169,7
mn4eb19a6fa66d78,62890,42548n,1,227,11
mn8965f876381f4c,60814,45185n,1,244,12
mna75bd3ef002f63,24650,140131n,1,153,5
mn49363b9effea42,296885,66646e,0,43,0
mnf65be1da36337a,308719,25507c,2,318,14
mnfb208ae2fedee3,50842,13115e,0,86,1
mn0678d9ad8a3bc3,248150,45233c,2,205,9
mn011b3c5c8cd06a,227373,134886e,0,189,8
mnca334e985b4706,21015,3413c,2,86,1
mna136728b3b04cf,184269,123310n,1,223,10
mnb331b47cd9a623,368482,24002n,1,223,10
mn1ef898ab24c776,164388,46786c,2,73,0
mn82d8204fa8512b,58587,131775n,1,169,7
mn27ed31869faccc,95238,4810e,0,305,14
mn8abd81825ca138,146667,24029c,2,215,10
mn3489d4dbfcd1c7,121273,87504c,2,223,10
mn20a56df00af6d5,22997,8227c,2,153,5
mnd8eec375190857,251011,26556n,1,222,10
mn379742d03d6601,287901,123892n,1,194,8
mn844830f435df5a,98038,105113c,2,320,14
mnd337492053eeac,110863,57596c,2,194,8
mnccc35bbd0910bd,301083,39028n,1,80,1
mn329ed2e6af299f,101422,30200e,0,80,1
mn04e0f187a1e28e,376224,2963c,2,218,10
